,NARRATOR,Other,Unknown,n,k,be,Response,Anger,Anticipation,Arousal,Disgust,Dominance,Fear,Joy,Sadness,Surprise,Trust,Valence,Stimulus,READER,caliph,vathek
305,,,,5813,30,9.109111406129873,Category,,,,,,,Feature,,,,,,Subject,,
306,,,,5803,40,5.8422727299796735,Category,,,,,,,Feature,,,,,,Subject,,
307,,,,5793,50,3.3662430860900994,Category,,,,,,,Feature,,,,,,Subject,,
308,,,,5783,60,1.902062249313877,Category,,,,,,,Feature,,,,,,Subject,,
309,,,,5773,70,1.4714133062979977,Category,,,,,,,Feature,,,,,,Subject,,
310,,,,5842,1,0.015000278566945247,Category,,,,,,,,Feature,,,,,Subject,,
311,,,,5838,5,0.07131715801844313,Category,,,,,,,,Feature,,,,,Subject,,
312,,,,5833,10,0.1417170954922159,Category,,,,,,,,Feature,,,,,Subject,,
313,,,,5828,15,0.21217015066809708,Category,,,,,,,,Feature,,,,,Subject,,
314,,,,5823,20,0.28267598034093966,Category,,,,,,,,Feature,,,,,Subject,,
315,,,,5813,30,0.4238445503997266,Category,,,,,,,,Feature,,,,,Subject,,
316,,,,5803,40,0.5238153973176949,Category,,,,,,,,Feature,,,,,Subject,,
317,,,,5793,50,0.5846676811242847,Category,,,,,,,,Feature,,,,,Subject,,
318,,,,5783,60,0.6289797335958218,Category,,,,,,,,Feature,,,,,Subject,,
319,,,,5773,70,0.6454142231695453,Category,,,,,,,,Feature,,,,,Subject,,
320,,,,5842,1,0.006352075671618753,Category,,,,,,,,,Feature,,,,Subject,,
321,,,,5838,5,0.0317757863190246,Category,,,,,,,,,Feature,,,,Subject,,
322,,,,5833,10,0.06359011755339265,Category,,,,,,,,,Feature,,,,Subject,,
323,,,,5828,15,0.0954430352111552,Category,,,,,,,,,Feature,,,,Subject,,
324,,,,5823,20,0.12733458053876545,Category,,,,,,,,,Feature,,,,Subject,,
325,,,,5813,30,0.19123371784918294,Category,,,,,,,,,Feature,,,,Subject,,
326,,,,5803,40,0.2405389353494623,Category,,,,,,,,,Feature,,,,Subject,,
327,,,,5793,50,0.2776999901663115,Category,,,,,,,,,Feature,,,,Subject,,
328,,,,5783,60,0.31077847176936707,Category,,,,,,,,,Feature,,,,Subject,,
329,,,,5773,70,0.3235218652568877,Category,,,,,,,,,Feature,,,,Subject,,
330,,,,5842,1,0.011676725168593544,Category,,,,,,,,,,Feature,,,Subject,,
331,,,,5838,5,0.05404245626435285,Category,,,,,,,,,,Feature,,,Subject,,
332,,,,5833,10,0.10072407528714047,Category,,,,,,,,,,Feature,,,Subject,,
333,,,,5828,15,0.14691444620513014,Category,,,,,,,,,,Feature,,,Subject,,
334,,,,5823,20,0.19315832970449998,Category,,,,,,,,,,Feature,,,Subject,,
335,,,,5813,30,0.2858067201734569,Category,,,,,,,,,,Feature,,,Subject,,
336,,,,5803,40,0.3456765114535144,Category,,,,,,,,,,Feature,,,Subject,,
337,,,,5793,50,0.39125289084814,Category,,,,,,,,,,Feature,,,Subject,,
338,,,,5783,60,0.43179764409800786,Category,,,,,,,,,,Feature,,,Subject,,
339,,,,5773,70,0.4474273058413238,Category,,,,,,,,,,Feature,,,Subject,,
340,,,,5842,1,0.052849450891556175,Category,,,,,,,,,,,Feature,,Subject,,
341,,,,5838,5,0.2143999193136232,Category,,,,,,,,,,,Feature,,Subject,,
342,,,,5833,10,0.39420511037666517,Category,,,,,,,,,,,Feature,,Subject,,
343,,,,5828,15,0.5662245136056376,Category,,,,,,,,,,,Feature,,Subject,,
344,,,,5823,20,0.7281490102544537,Category,,,,,,,,,,,Feature,,Subject,,
345,,,,5813,30,1.0425988545705338,Category,,,,,,,,,,,Feature,,Subject,,
346,,,,5803,40,1.1646712296925543,Category,,,,,,,,,,,Feature,,Subject,,
347,,,,5793,50,1.218388992201051,Category,,,,,,,,,,,Feature,,Subject,,
348,,,,5783,60,1.271298249272669,Category,,,,,,,,,,,Feature,,Subject,,
349,,,,5773,70,1.2849209389721088,Category,,,,,,,,,,,Feature,,Subject,,
350,,,,5842,1,0.24332720412062017,,Feature,,,,,,,,,,,Category,Subject,,
351,,,,5838,5,1.211421098625329,,Feature,,,,,,,,,,,Category,Subject,,
352,,,,5833,10,2.3908446303770585,,Feature,,,,,,,,,,,Category,Subject,,
353,,,,5828,15,3.527941817418537,,Feature,,,,,,,,,,,Category,Subject,,
354,,,,5823,20,4.58939244006851,,Feature,,,,,,,,,,,Category,Subject,,
355,,,,5813,30,6.456611620976974,,Feature,,,,,,,,,,,Category,Subject,,
356,,,,5803,40,5.477246008265323,,Feature,,,,,,,,,,,Category,Subject,,
357,,,,5793,50,4.276017856969711,,Feature,,,,,,,,,,,Category,Subject,,
358,,,,5783,60,3.2423024436100714,,Feature,,,,,,,,,,,Category,Subject,,
359,,,,5773,70,2.852731050102882,,Feature,,,,,,,,,,,Category,Subject,,
360,,,,5842,1,0.35435784311018487,,,Feature,,,,,,,,,,Category,Subject,,
361,,,,5838,5,1.769166690652142,,,Feature,,,,,,,,,,Category,Subject,,
362,,,,5833,10,3.5094169217886924,,,Feature,,,,,,,,,,Category,Subject,,
363,,,,5828,15,5.158804188901366,,,Feature,,,,,,,,,,Category,Subject,,
364,,,,5823,20,6.646936932097987,,,Feature,,,,,,,,,,Category,Subject,,
365,,,,5813,30,9.007375444823548,,,Feature,,,,,,,,,,Category,Subject,,
366,,,,5803,40,5.583379316881807,,,Feature,,,,,,,,,,Category,Subject,,
367,,,,5793,50,3.1397032051499925,,,Feature,,,,,,,,,,Category,Subject,,
368,,,,5783,60,1.901421924368451,,,Feature,,,,,,,,,,Category,Subject,,
369,,,,5773,70,1.5259015704519026,,,Feature,,,,,,,,,,Category,Subject,,
370,,,,5842,1,0.039832224315562596,,,,Feature,,,,,,,,,Category,Subject,,
371,,,,5838,5,0.19740890837873654,,,,Feature,,,,,,,,,Category,Subject,,
372,,,,5833,10,0.38160495193476235,,,,Feature,,,,,,,,,Category,Subject,,
373,,,,5828,15,0.5482796068758873,,,,Feature,,,,,,,,,Category,Subject,,
374,,,,5823,20,0.7046998965534824,,,,Feature,,,,,,,,,Category,Subject,,
375,,,,5813,30,0.9900605303733984,,,,Feature,,,,,,,,,Category,Subject,,
376,,,,5803,40,1.0369631935365347,,,,Feature,,,,,,,,,Category,Subject,,
377,,,,5793,50,1.0619723620651995,,,,Feature,,,,,,,,,Category,Subject,,
378,,,,5783,60,1.1095767806735612,,,,Feature,,,,,,,,,Category,Subject,,
379,,,,5773,70,1.1329424090793525,,,,Feature,,,,,,,,,Category,Subject,,
380,,,,5842,1,0.17132237256425964,,,,,Feature,,,,,,,,Category,Subject,,
381,,,,5838,5,0.8551547359790184,,,,,Feature,,,,,,,,Category,Subject,,
382,,,,5833,10,1.7014021892577318,,,,,Feature,,,,,,,,Category,Subject,,
383,,,,5828,15,2.5349379980165887,,,,,Feature,,,,,,,,Category,Subject,,
384,,,,5823,20,3.343706297631907,,,,,Feature,,,,,,,,Category,Subject,,
385,,,,5813,30,4.8542497893567065,,,,,Feature,,,,,,,,Category,Subject,,
386,,,,5803,40,4.627271094254995,,,,,Feature,,,,,,,,Category,Subject,,
387,,,,5793,50,3.938011166376663,,,,,Feature,,,,,,,,Category,Subject,,
388,,,,5783,60,3.2658444959731097,,,,,Feature,,,,,,,,Category,Subject,,
389,,,,5773,70,3.0270534398427675,,,,,Feature,,,,,,,,Category,Subject,,
390,,,,5842,1,0.864892095684232,,,,,,Feature,,,,,,,Category,Subject,,
391,,,,5838,5,4.291126140671765,,,,,,Feature,,,,,,,Category,Subject,,
392,,,,5833,10,8.410531745020357,,,,,,Feature,,,,,,,Category,Subject,,
393,,,,5828,15,11.179694371914737,,,,,,Feature,,,,,,,Category,Subject,,
394,,,,5823,20,12.108323737987,,,,,,Feature,,,,,,,Category,Subject,,
395,,,,5813,30,12.44819496788076,,,,,,Feature,,,,,,,Category,Subject,,
396,,,,5803,40,1.4955136570894727,,,,,,Feature,,,,,,,Category,Subject,,
397,,,,5793,50,0.3437340641422002,,,,,,Feature,,,,,,,Category,Subject,,
398,,,,5783,60,0.10120558936046209,,,,,,Feature,,,,,,,Category,Subject,,
399,,,,5773,70,0.06034415483079367,,,,,,Feature,,,,,,,Category,Subject,,
400,,,,5842,1,0.3181887667618957,,,,,,,Feature,,,,,,Category,Subject,,
401,,,,5838,5,1.588079724712999,,,,,,,Feature,,,,,,Category,Subject,,
402,,,,5833,10,3.1443334709967616,,,,,,,Feature,,,,,,Category,Subject,,
403,,,,5828,15,4.619459383431375,,,,,,,Feature,,,,,,Category,Subject,,
404,,,,5823,20,5.973843367677428,,,,,,,Feature,,,,,,Category,Subject,,
405,,,,5813,30,8.142772129808959,,,,,,,Feature,,,,,,Category,Subject,,
406,,,,5803,40,5.696064577943991,,,,,,,Feature,,,,,,Category,Subject,,
407,,,,5793,50,3.7953904708073947,,,,,,,Feature,,,,,,Category,Subject,,
408,,,,5783,60,2.611487404738593,,,,,,,Feature,,,,,,Category,Subject,,
409,,,,5773,70,2.252439257895566,,,,,,,Feature,,,,,,Category,Subject,,
410,,,,5842,1,0.3133408566862185,,,,,,,,Feature,,,,,Category,Subject,,
411,,,,5838,5,1.5607601398792055,,,,,,,,Feature,,,,,Category,Subject,,
412,,,,5833,10,3.095618606369055,,,,,,,,Feature,,,,,Category,Subject,,
413,,,,5828,15,4.562999665262576,,,,,,,,Feature,,,,,Category,Subject,,
414,,,,5823,20,5.917118116538464,,,,,,,,Feature,,,,,Category,Subject,,
415,,,,5813,30,8.142703166050646,,,,,,,,Feature,,,,,Category,Subject,,
416,,,,5803,40,5.787437125172501,,,,,,,,Feature,,,,,Category,Subject,,
417,,,,5793,50,3.6697228880215658,,,,,,,,Feature,,,,,Category,Subject,,
418,,,,5783,60,2.3885804804172825,,,,,,,,Feature,,,,,Category,Subject,,
419,,,,5773,70,1.9852522934005778,,,,,,,,Feature,,,,,Category,Subject,,
420,,,,5842,1,0.289949295144322,,,,,,,,,Feature,,,,Category,Subject,,
421,,,,5838,5,1.444949426313994,,,,,,,,,Feature,,,,Category,Subject,,
422,,,,5833,10,2.864809175328329,,,,,,,,,Feature,,,,Category,Subject,,
423,,,,5828,15,4.219228101338567,,,,,,,,,Feature,,,,Category,Subject,,
424,,,,5823,20,5.4716953460328845,,,,,,,,,Feature,,,,Category,Subject,,
425,,,,5813,30,7.6317088088913625,,,,,,,,,Feature,,,,Category,Subject,,
426,,,,5803,40,5.807795888600053,,,,,,,,,Feature,,,,Category,Subject,,
427,,,,5793,50,4.034115307210925,,,,,,,,,Feature,,,,Category,Subject,,
428,,,,5783,60,2.6796501278478324,,,,,,,,,Feature,,,,Category,Subject,,
429,,,,5773,70,2.232746955781562,,,,,,,,,Feature,,,,Category,Subject,,
430,,,,5842,1,0.2526501650888274,,,,,,,,,,Feature,,,Category,Subject,,
431,,,,5838,5,1.2601163868273701,,,,,,,,,,Feature,,,Category,Subject,,
432,,,,5833,10,2.497595948602677,,,,,,,,,,Feature,,,Category,Subject,,
433,,,,5828,15,3.7019759611431566,,,,,,,,,,Feature,,,Category,Subject,,
434,,,,5823,20,4.849909843230448,,,,,,,,,,Feature,,,Category,Subject,,
435,,,,5813,30,6.898686688651831,,,,,,,,,,Feature,,,Category,Subject,,
436,,,,5803,40,5.591727629854302,,,,,,,,,,Feature,,,Category,Subject,,
437,,,,5793,50,4.082227917709972,,,,,,,,,,Feature,,,Category,Subject,,
438,,,,5783,60,3.01124608162549,,,,,,,,,,Feature,,,Category,Subject,,
439,,,,5773,70,2.6538649393346248,,,,,,,,,,Feature,,,Category,Subject,,
440,,,,5842,1,0.37294926650328963,,,,,,,,,,,Feature,,Category,Subject,,
441,,,,5838,5,1.8620462054615896,,,,,,,,,,,Feature,,Category,Subject,,
442,,,,5833,10,3.692789992529069,,,,,,,,,,,Feature,,Category,Subject,,
443,,,,5828,15,5.420984791449352,,,,,,,,,,,Feature,,Category,Subject,,
444,,,,5823,20,6.949815682125343,,,,,,,,,,,Feature,,Category,Subject,,
445,,,,5813,30,9.32921550888655,,,,,,,,,,,Feature,,Category,Subject,,
446,,,,5803,40,5.804966602973431,,,,,,,,,,,Feature,,Category,Subject,,
447,,,,5793,50,3.2744457063881307,,,,,,,,,,,Feature,,Category,Subject,,
448,,,,5783,60,1.778596283818592,,,,,,,,,,,Feature,,Category,Subject,,
449,,,,5773,70,1.3610812274119204,,,,,,,,,,,Feature,,Category,Subject,,
450,,,,5842,1,0.8947439493130946,,,,,,,,,,,,Feature,Category,Subject,,
451,,,,5838,5,4.417965952448295,,,,,,,,,,,,Feature,Category,Subject,,
452,,,,5833,10,8.67089169150305,,,,,,,,,,,,Feature,Category,Subject,,
453,,,,5828,15,11.353887241812169,,,,,,,,,,,,Feature,Category,Subject,,
454,,,,5823,20,12.157147118327497,,,,,,,,,,,,Feature,Category,Subject,,
455,,,,5813,30,12.467947902415316,,,,,,,,,,,,Feature,Category,Subject,,
456,,,,5803,40,1.4028681048881726,,,,,,,,,,,,Feature,Category,Subject,,
457,,,,5793,50,0.29091000449960935,,,,,,,,,,,,Feature,Category,Subject,,
458,,,,5783,60,0.08434329921012355,,,,,,,,,,,,Feature,Category,Subject,,
459,,,,5773,70,0.06034415483079367,,,,,,,,,,,,Feature,Category,Subject,,
460,,Category,Feature,5842,1,0.3181887667618957,,,,,,,,,,,,,,,Subject,
461,,Category,Feature,5838,5,1.588079724712999,,,,,,,,,,,,,,,Subject,
462,,Category,Feature,5833,10,3.1443334709967616,,,,,,,,,,,,,,,Subject,
463,,Category,Feature,5828,15,4.619459383431375,,,,,,,,,,,,,,,Subject,
464,,Category,Feature,5823,20,5.973843367677428,,,,,,,,,,,,,,,Subject,
465,,Category,Feature,5813,30,8.142772129808959,,,,,,,,,,,,,,,Subject,
466,,Category,Feature,5803,40,5.696064577943991,,,,,,,,,,,,,,,Subject,
467,,Category,Feature,5793,50,3.7953904708073947,,,,,,,,,,,,,,,Subject,
468,,Category,Feature,5783,60,2.611487404738593,,,,,,,,,,,,,,,Subject,
469,,Category,Feature,5773,70,2.252439257895566,,,,,,,,,,,,,,,Subject,
470,,,,5842,1,0.04382668076247276,Category,Feature,,,,,,,,,,,,,Subject,
471,,,,5838,5,0.21184041465329015,Category,Feature,,,,,,,,,,,,,Subject,
472,,,,5833,10,0.40752374539672814,Category,Feature,,,,,,,,,,,,,Subject,
473,,,,5828,15,0.5873098925041279,Category,Feature,,,,,,,,,,,,,Subject,
474,,,,5823,20,0.7455861236219273,Category,Feature,,,,,,,,,,,,,Subject,
475,,,,5813,30,1.0408056130745156,Category,Feature,,,,,,,,,,,,,Subject,
476,,,,5803,40,1.1302751979589425,Category,Feature,,,,,,,,,,,,,Subject,
477,,,,5793,50,1.1727730005789099,Category,Feature,,,,,,,,,,,,,Subject,
478,,,,5783,60,1.2244518666092048,Category,Feature,,,,,,,,,,,,,Subject,
479,,,,5773,70,1.2427145647309463,Category,Feature,,,,,,,,,,,,,Subject,
480,,,,5842,1,0.289949295144322,Category,,Feature,,,,,,,,,,,,Subject,
481,,,,5838,5,1.444949426313994,Category,,Feature,,,,,,,,,,,,Subject,
482,,,,5833,10,2.864809175328329,Category,,Feature,,,,,,,,,,,,Subject,
483,,,,5828,15,4.219228101338567,Category,,Feature,,,,,,,,,,,,Subject,
484,,,,5823,20,5.4716953460328845,Category,,Feature,,,,,,,,,,,,Subject,
485,,,,5813,30,7.6317088088913625,Category,,Feature,,,,,,,,,,,,Subject,
486,,,,5803,40,5.807795888600053,Category,,Feature,,,,,,,,,,,,Subject,
487,,,,5793,50,4.034115307210925,Category,,Feature,,,,,,,,,,,,Subject,
488,,,,5783,60,2.6796501278478324,Category,,Feature,,,,,,,,,,,,Subject,
489,,,,5773,70,2.232746955781562,Category,,Feature,,,,,,,,,,,,Subject,
490,,,,5842,1,0.162238831451566,Category,,,Feature,,,,,,,,,,,Subject,
491,,,,5838,5,0.75200395543974,Category,,,Feature,,,,,,,,,,,Subject,
492,,,,5833,10,1.4131205707784664,Category,,,Feature,,,,,,,,,,,Subject,
493,,,,5828,15,1.9997129091719228,Category,,,Feature,,,,,,,,,,,Subject,
494,,,,5823,20,2.4917242828028425,Category,,,Feature,,,,,,,,,,,Subject,
495,,,,5813,30,3.3088078388878985,Category,,,Feature,,,,,,,,,,,Subject,
496,,,,5803,40,2.8980942478269043,Category,,,Feature,,,,,,,,,,,Subject,
497,,,,5793,50,2.693988508088759,Category,,,Feature,,,,,,,,,,,Subject,
498,,,,5783,60,2.5926349911291555,Category,,,Feature,,,,,,,,,,,Subject,
499,,,,5773,70,2.5604147486837974,Category,,,Feature,,,,,,,,,,,Subject,
500,,,,5842,1,0.013356222968764698,Category,,,,Feature,,,,,,,,,,Subject,
501,,,,5838,5,0.06279635758885876,Category,,,,Feature,,,,,,,,,,Subject,
502,,,,5833,10,0.12459408734327897,Category,,,,Feature,,,,,,,,,,Subject,
503,,,,5828,15,0.18644637671950967,Category,,,,Feature,,,,,,,,,,Subject,
504,,,,5823,20,0.24835304637785224,Category,,,,Feature,,,,,,,,,,Subject,
505,,,,5813,30,0.3723287863063502,Category,,,,Feature,,,,,,,,,,Subject,
506,,,,5803,40,0.46040261856669906,Category,,,,Feature,,,,,,,,,,Subject,
507,,,,5793,50,0.5237816536897739,Category,,,,Feature,,,,,,,,,,Subject,
508,,,,5783,60,0.5789523627675518,Category,,,,Feature,,,,,,,,,,Subject,
509,,,,5773,70,0.5999686295995903,Category,,,,Feature,,,,,,,,,,Subject,
510,,,,5842,1,0.2077286055327891,Category,,,,,Feature,,,,,,,,,Subject,
511,,,,5838,5,0.9353556741301228,Category,,,,,Feature,,,,,,,,,Subject,
512,,,,5833,10,1.7273945584696853,Category,,,,,Feature,,,,,,,,,Subject,
513,,,,5828,15,2.3915886608638015,Category,,,,,Feature,,,,,,,,,Subject,
514,,,,5823,20,2.926370309093813,Category,,,,,Feature,,,,,,,,,Subject,
515,,,,5813,30,3.790400235777865,Category,,,,,Feature,,,,,,,,,Subject,
516,,,,5803,40,3.120583392761089,Category,,,,,Feature,,,,,,,,,Subject,
517,,,,5793,50,2.8628189808760864,Category,,,,,Feature,,,,,,,,,Subject,
518,,,,5783,60,2.7284440934704564,Category,,,,,Feature,,,,,,,,,Subject,
519,,,,5773,70,2.6783540634024745,Category,,,,,Feature,,,,,,,,,Subject,
520,,,,5842,1,0.04250450356262774,Category,,,,,,Feature,,,,,,,,Subject,
521,,,,5838,5,0.2075997491867382,Category,,,,,,Feature,,,,,,,,Subject,
522,,,,5833,10,0.40013121318119116,Category,,,,,,Feature,,,,,,,,Subject,
523,,,,5828,15,0.58791067772826,Category,,,,,,Feature,,,,,,,,Subject,
524,,,,5823,20,0.7670733493803173,Category,,,,,,Feature,,,,,,,,Subject,
525,,,,5813,30,1.0964591979746674,Category,,,,,,Feature,,,,,,,,Subject,
526,,,,5803,40,1.2046329510964537,Category,,,,,,Feature,,,,,,,,Subject,
527,,,,5793,50,1.2543856438643997,Category,,,,,,Feature,,,,,,,,Subject,
528,,,,5783,60,1.3224901577508987,Category,,,,,,Feature,,,,,,,,Subject,
529,,,,5773,70,1.3492973085977638,Category,,,,,,Feature,,,,,,,,Subject,
530,,,,5842,1,0.04644474724712996,Category,,,,,,,Feature,,,,,,,Subject,
531,,,,5838,5,0.2305933685693924,Category,,,,,,,Feature,,,,,,,Subject,
532,,,,5833,10,0.4582597780280898,Category,,,,,,,Feature,,,,,,,Subject,
533,,,,5828,15,0.681461705938083,Category,,,,,,,Feature,,,,,,,Subject,
534,,,,5823,20,0.8976743552719104,Category,,,,,,,Feature,,,,,,,Subject,
535,,,,5813,30,1.3102406212067836,Category,,,,,,,Feature,,,,,,,Subject,
536,,,,5803,40,1.4551640810440225,Category,,,,,,,Feature,,,,,,,Subject,
537,,,,5793,50,1.486856071637781,Category,,,,,,,Feature,,,,,,,Subject,
538,,,,5783,60,1.4990616308633697,Category,,,,,,,Feature,,,,,,,Subject,
539,,,,5773,70,1.5005034418045418,Category,,,,,,,Feature,,,,,,,Subject,
540,,,,5842,1,0.039832224315562596,Category,,,,,,,,Feature,,,,,,Subject,
541,,,,5838,5,0.1926718006285589,Category,,,,,,,,Feature,,,,,,Subject,
542,,,,5833,10,0.3748025006540223,Category,,,,,,,,Feature,,,,,,Subject,
543,,,,5828,15,0.5518622550469134,Category,,,,,,,,Feature,,,,,,Subject,
544,,,,5823,20,0.7242255891416083,Category,,,,,,,,Feature,,,,,,Subject,
545,,,,5813,30,1.0477549681045317,Category,,,,,,,,Feature,,,,,,Subject,
546,,,,5803,40,1.2026357123864573,Category,,,,,,,,Feature,,,,,,Subject,
547,,,,5793,50,1.289054333006392,Category,,,,,,,,Feature,,,,,,Subject,
548,,,,5783,60,1.3650764544577463,Category,,,,,,,,Feature,,,,,,Subject,
549,,,,5773,70,1.394808635896341,Category,,,,,,,,Feature,,,,,,Subject,
550,,,,5842,1,0.03712022063964433,Category,,,,,,,,,Feature,,,,,Subject,
551,,,,5838,5,0.18477848852304604,Category,,,,,,,,,Feature,,,,,Subject,
552,,,,5833,10,0.3654995323320677,Category,,,,,,,,,Feature,,,,,Subject,
553,,,,5828,15,0.5395109161829963,Category,,,,,,,,,Feature,,,,,Subject,
554,,,,5823,20,0.7010381024060875,Category,,,,,,,,,Feature,,,,,Subject,
555,,,,5813,30,1.003340600471939,Category,,,,,,,,,Feature,,,,,Subject,
556,,,,5803,40,1.1075809910380356,Category,,,,,,,,,Feature,,,,,Subject,
557,,,,5793,50,1.171917024174371,Category,,,,,,,,,Feature,,,,,Subject,
558,,,,5783,60,1.2584017610523524,Category,,,,,,,,,Feature,,,,,Subject,
559,,,,5773,70,1.2909202736970355,Category,,,,,,,,,Feature,,,,,Subject,
560,,,,5842,1,0.06030210992750643,Category,,,,,,,,,,Feature,,,,Subject,
561,,,,5838,5,0.30055712744122015,Category,,,,,,,,,,Feature,,,,Subject,
562,,,,5833,10,0.5899873515839265,Category,,,,,,,,,,Feature,,,,Subject,
563,,,,5828,15,0.8695328264920222,Category,,,,,,,,,,Feature,,,,Subject,
564,,,,5823,20,1.1385021169703924,Category,,,,,,,,,,Feature,,,,Subject,
565,,,,5813,30,1.6350278912737892,Category,,,,,,,,,,Feature,,,,Subject,
566,,,,5803,40,1.7418159802874145,Category,,,,,,,,,,Feature,,,,Subject,
567,,,,5793,50,1.7799091010683006,Category,,,,,,,,,,Feature,,,,Subject,
568,,,,5783,60,1.8289888045607237,Category,,,,,,,,,,Feature,,,,Subject,
569,,,,5773,70,1.8538763491538135,Category,,,,,,,,,,Feature,,,,Subject,
570,,,,5842,1,0.22176134616404575,Category,,,,,,,,,,,Feature,,,Subject,
571,,,,5838,5,0.9721973800652585,Category,,,,,,,,,,,Feature,,,Subject,
572,,,,5833,10,1.7915479516270576,Category,,,,,,,,,,,Feature,,,Subject,
573,,,,5828,15,2.4585993918413607,Category,,,,,,,,,,,Feature,,,Subject,
574,,,,5823,20,3.0178600357970002,Category,,,,,,,,,,,Feature,,,Subject,
575,,,,5813,30,3.9389034018845637,Category,,,,,,,,,,,Feature,,,Subject,
576,,,,5803,40,3.271625446518856,Category,,,,,,,,,,,Feature,,,Subject,
577,,,,5793,50,3.000974785184197,Category,,,,,,,,,,,Feature,,,Subject,
578,,,,5783,60,2.830231486941952,Category,,,,,,,,,,,Feature,,,Subject,
579,,,,5773,70,2.7615414226829906,Category,,,,,,,,,,,Feature,,,Subject,
580,,,,5842,1,0.2290445056297415,,Feature,,,,,,,,,,,Category,,Subject,
581,,,,5838,5,1.1388819932087046,,Feature,,,,,,,,,,,Category,,Subject,
582,,,,5833,10,2.254253297724596,,Feature,,,,,,,,,,,Category,,Subject,
583,,,,5828,15,3.331776785822968,,Feature,,,,,,,,,,,Category,,Subject,
584,,,,5823,20,4.351918751848904,,Feature,,,,,,,,,,,Category,,Subject,
585,,,,5813,30,6.166484005313715,,Feature,,,,,,,,,,,Category,,Subject,
586,,,,5803,40,5.337368838692167,,Feature,,,,,,,,,,,Category,,Subject,
587,,,,5793,50,4.230985046389756,,Feature,,,,,,,,,,,Category,,Subject,
588,,,,5783,60,3.350262709267133,,Feature,,,,,,,,,,,Category,,Subject,
589,,,,5773,70,3.023865454223017,,Feature,,,,,,,,,,,Category,,Subject,
590,,,,5842,1,0.3365372556678663,,,Feature,,,,,,,,,,Category,,Subject,
591,,,,5838,5,1.6798211088651511,,,Feature,,,,,,,,,,Category,,Subject,
592,,,,5833,10,3.329080044236178,,,Feature,,,,,,,,,,Category,,Subject,
593,,,,5828,15,4.888120131599142,,,Feature,,,,,,,,,,Category,,Subject,
594,,,,5823,20,6.304534780033131,,,Feature,,,,,,,,,,Category,,Subject,
595,,,,5813,30,8.60590286067411,,,Feature,,,,,,,,,,Category,,Subject,
596,,,,5803,40,5.581113608655089,,,Feature,,,,,,,,,,Category,,Subject,
597,,,,5793,50,3.3045191473304003,,,Feature,,,,,,,,,,Category,,Subject,
598,,,,5783,60,2.085227672974674,,,Feature,,,,,,,,,,Category,,Subject,
599,,,,5773,70,1.7186116770585538,,,Feature,,,,,,,,,,Category,,Subject,
600,,,,5842,1,0.7197316461877457,,,,Feature,,,,,,,,,Category,,Subject,
601,,,,5838,5,3.5829840259952754,,,,Feature,,,,,,,,,Category,,Subject,
602,,,,5833,10,7.0338723973212005,,,,Feature,,,,,,,,,Category,,Subject,
603,,,,5828,15,9.755001076269272,,,,Feature,,,,,,,,,Category,,Subject,
604,,,,5823,20,11.287066536339246,,,,Feature,,,,,,,,,Category,,Subject,
605,,,,5813,30,12.291097730807977,,,,Feature,,,,,,,,,Category,,Subject,
606,,,,5803,40,2.6680943223082734,,,,Feature,,,,,,,,,Category,,Subject,
607,,,,5793,50,0.7032526167373084,,,,Feature,,,,,,,,,Category,,Subject,
608,,,,5783,60,0.24605044865081577,,,,Feature,,,,,,,,,Category,,Subject,
609,,,,5773,70,0.17612865872509684,,,,Feature,,,,,,,,,Category,,Subject,
610,,,,5842,1,0.2526501650888274,,,,,Feature,,,,,,,,Category,,Subject,
611,,,,5838,5,1.2601163868273701,,,,,Feature,,,,,,,,Category,,Subject,
